한글단어명,영문단어명,단어 전체 명,단어 설명
필기시험,WREXAM,WRITING EXAMINATION,답안을 글로 써서 치르는 시험
필답시험,WREXAM,WRITING EXAMINATION,
필드,FIELD,FIELD,
필름동판,FLMCPP,FLIM COPPERPLATE ,
필명,PEN_NM,PEN NAME,
필수,NECE,NECESSARY,
필요,ND,NEED,
필자,WRITER,WRITER,
하,BTTM,BOTTOM,
하기,SUMM,SUMMER,
하령,COMD,COMMAND,아랫사람에게 명령을 내림
하수도,DRAGE,DRAINAGE,
하위,SUB,(PREFIX) ~ UNDER,
하자,FULT,FAULT,
하한,LOW,LOWER,
하한선,LOWLMT,LOW LIMIT,
학과,SUST,SUBJECT OF STUDY,대학의 편제에서 각 학술 분과에 따라 나눈 교육?연구의 구성단위
학과(부)/전공,SUST,SUBJECT OF STUDY,
학교,SCH,SCHOOL,
학급,CLASS,CLASS,
학기,SHTM,SCHOOL TERM,
학기제,TRM_SYS,TERM SYSTEM,
학년,SHYR,SCHOOL YEAR,한 해를 단위로 한 학습 기간의 구분
학년도,SCHYY,A SCHOOL YEAR,한 학년의 과정(課程)을 배우는 기간(期間)
학력,SHCR,SCHOOL CAREER,
학무,SHAF,SCHOOL AFFAIRS,
학문,STUD,STUDIES,
학번,STUNO,STUDENT NUMBER,"[學番]주로 대학교나 대학원에서 학생에게 부여하는 고유 번호, 같은 해에 입학한 학생들에게 입학 연도를 고유 번호 삼아서 붙인 번호"
학부,SUST,SUBJECT OF STUDY,
학부(과),SUST,SUBJECT OF STUDY,
학부(과)/전공,SUST,SUBJECT OF STUDY,
학부모,STPRT,STUDENT' PARENT,
학비,SCHEXP,SCHOOL EXPENSES,
학사,BD,BACHELOR'S DEGREE,[學士]대학의 학부 과정을 마치고 규정된 절차를 밟은 사람에게 수여하는 학위. 또는 그 학위를 딴 사람
학사,SHAF,SCHOOL AFFAIRS,학교의 교육이나 경영 등에 관한 모든 것
학생,STD,STUDENT,주로 학교에 다니며 공부하는 사람
학생부,STD_HIS,STUDENT HISTORY,
학생증,STD_IDCD,A STUDENT´S (IDENTIFICATION) CARD,
학생회,STD_ASM,STUDENT ASSEMEBLY,
학석사,BCHLOR_MSTR,"A BACHELOR AND A MASTER
",
학수,STLSN,SUBJECT OF STUDY'S LESSON,
학술,ACDM,AN ACADEMY,
학술지,JRNL,JOURNAL,
학술진흥재단,KRF,KOREA RESEARCH FOUNDATION,"학술진흥재단
"
학습,LRN,LEARING,
학습자,LRNER,LEARNING PERSON,
학업,STDS,STUDIES,
학원,ACMY,ACADEMY,
학원비,ACAEXP,ACADEMY EXPENSE,
학위,DEGR,DEGREE,
학자,SCLAR,SCHOLAR,
학자금,EDU_FUND,EDUCATION FUND,
학장,DEAN,DEAN,
학적,SHREG,SCHOOL REGISTER,학생으로서 학교에 등록하여 놓은 근거
학적부,SHREG,SCHOOL REGISTER,
학점,PNT,POINT,"[學點]대학이나 대학원에서 학과의 성적을 나타내는 등급의 단위, 대학이나 대학원에서 학생의 학과 이수를 계산하는 단위"
학제,EDUSTM,AN EDUCATIONAL SYSTEM,
학진,KRF,KOREA RESEARCH FOUNDATION,
학칙,SCHRL,SCHOOL RULE,
학회,ACDM,AN ACADEMY,
한계,LMT,LIMIT,
한국어,KRL,KOREAN LANGUAGE,
한글,KOLN,KOREAN LANGUAGE,우리나라 고유 문자의 이름
한도,LMT,LIMIT,
한문,CHA,CHINESS CHARACTER,
한번,ONCE,ONCE,
한자,CHA,CHINESS CHARACTER,
할당,ASSN,ASSIGNMENT,
할인,DC,DISCOUNT,값을 깍음
할인전,DCBEF,DISCOUNT BEFORE,할인전
함수,FUNCT,FUNCTION,
합,SUM,SUMMARY,
합격,PASS,PASS,
합계,TT,TOTAL,
합동,COMB,COMBINATION,
합반,COMCS,COMBINED CLASS,
합산,ADUP,"TOTAL, ADDING UP",
합성,SYNTHESIS,SYNTHESIS,
합의,AGR,AGREEMENT,
항,SECT,SECTION, 내용을 체계적으로 나누어 서술하는 단위의 하나
항공,AIR,AIR,
항목,ITEM,ITEM,
해결,SOLVE,SOLVE,
해고,DSMS,DISMISSAL,
해당,PRTNT,PERTINENT,
해설,DESCT,DESCRIPTION,
해소,SOLVE,SOLVE,
해외,FRN,FOREIGN COUNTRY,
해임,DSMS,DISMISSAL,어떤 직위에 있는 사람을 맡은 임무를 내놓고 물러나게 함
해제,RLEAS,RELEASE,
해지,TRMN,TERMINATION,계약 당사자 한쪽의 의사 표시에 의하여 계약에 기초한 법률관계를 소멸함
해체,BRKUP,BREAKUP,
해촉,TRMN,TERMINATION,
핵심,CORE,CORE,
핸드폰,HP,,
행,ROW,ROW,
행동,ACT,ACT,
행사,CERE,CEREMONY,
행선지,DEST,DESTINATION,
행위,ACT,ACT,
행정,ADM,ADMINISTRATION,
행정기관,ADM,ADMINISTRATION,
향방,NTDF,ONE´S NATIVE PLACE DEFENSE,
향토,NTPC,ONE´S NATIVE PLACE,
향후,AF,AFTER,
허가,ALLW,ALLOWANCE,
허가서,ALLWDOC,UNDEFINED,
허락,PERM,PERMISSION,
허용,ALLW,ALLOWANCE,
현,CURR,CURRENT,
현근무지,CSIT,CURRENT SITE,
현장,SCENE,SCENE,
현재,NOW,NOW,
현지,ACPL,THE ACTUAL PLACE,
현직,INCBT,INCUMBENT,
현행,CURR,CURRENT,
현황,PRECON,THE PRESENT CONDITION,
혈압,BLD_PRSS,BLOOD PRESSURE,
혈액,BLD,BLOOD,
혈액형,BLDTP,BLOOD TYPE,
협력,COOP,COOPERATION,
협약,AGR,AGREEMENT,
협의회,CONCL,COUNCIL,
협정,AGR,AGREEMENT,
협조,COOP,COOPERATION,
협진,COMEDI,COOPERATION MEDICAL EXAMINATION AND TREATMENT,
협회,SOCT,A SOCIETY,
형,ELBRO,ELDER BROTHER,
형,TYPE,TYPE,
형식,TYPE,TYPE,
형제,BROTH,BROTHER,BROTHER
형태,TYPE,TYPE,
형편,SITU,SITUATION,
혜택,BNFT,BENEFIT,
호,HO,HO,[號]같은 번지 내에 집이 여럿 있을 때 일정하게 순서를 매겨 쓰는 말.
호봉,STEP,PAY STEP,
호스팅,HOST,HOSTING,호스팅서비스 사용 단어 정의
호실,ROOM,ROOM,
호주,HOST,HOST,
호주와의관계,HOST_REL,RELATION WITH HOST,
호출기,BEPR,BEEPER,
혼인,MAGE,MARRIAGE,
혼자,SINGLE,SINGLE,
혼합,MIX,MIX,
홈페이지,HOME_PAGE,HOME PAGE,
홍보,PR,PUBLIC RELATIONS,
홍보물,PRBR,PR BROCHURE,
화면,SCR,SCREEN,
화물,CARG,CARGO,
화요일,TUE,THUESDAY,
화일,FILE,FILE,
화폐,MNY,MONEY,
확대,MAGNIF,MAGNIFICATION,
확인,CFM,CONFIRM,
확인자,CFMR,UNDEFINED,
확정,FIX,FIX,일을 확실하게 정함
확정자,DCSNR,DECISIONER,
환경,ENVIR,ENVIRONMENT,
환급,RFND,REFUND,돈이나 물건 따위를 도로 돌려줌
환급보험료,RET_PREM,RETURN PREMIUM,
환불,REPMT,REPAYMENT,
환산,EXCH,EXCHANGE,
환산비율,EXCGRT,EXCHANGE RATE,
환수,RDMP,REDEMPTION,
환율,EXRATE,EXCHANGE RATE,자기 나라 돈과 다른 나라 돈의 교환 비율
환입,RECPT,RECAPTURE,
환자,PATI,A PATIENT,
활동,ACT,ACT,
활용,APLY,APPLY,
회계,ACNT,ACCOUNTS,
회답,X-RADIATION,REPLY,부름이나 물음에 응하여 답함.
회보,BLTN,A BULLETIN,
회비,DUES,DUES,
회사,CO,COMPANY,
회선,CIRCUIT,CIRCUIT,
회신,RPLY,REPLY,
회원,MEMB,MEMBER,
회의,MEET,MEETING,
회의록,MEETRD,MEETING RECORD,
회장,PSDT,PRESIDENT,
회전,REV,REVOLUTION,
회지,BULL,BULLETIN,
회차,SEQ, SEQUENCE,
회칙,CONSTI,CONSTITUTION,
회화,CNVS,CONVERSATION,
횟수,CNT,COUNT,일이나 사건 따위의 가짓수
효과,EFT,EFFECT,
효도,FIPIT,FILIAL PIETY,
후,AF,AFTER,
후배,JUNIOR,JUNIOR,
후보,CANDI,CANDIDATE,
후에,AF,AFTER,
후원,SPRT,SUPPORT,
훈련,TRN,TRAIN,
훈장,BADGE,BADGE,
훈화,ADMO,ADMONITION,
휠체어,WHLCHR,WHEELCHAIR,
휴,CEAST,CEAST,
휴가,VACA,VACATION,
휴강,SKIP_LT, SKIPPING A LECTURE,
휴대,CARY,CARRY,휴대
휴머니즘,HUSM,HUMANISM,
휴일,HLDY,HOLYDAY,휴일
휴직,NDTY,NOT DUTY,
휴학,CEAST,CEASE STUDY,
흉부,CHEST,CHEST,
흡연,SMOKE,SMOKE,
흡입,SUCT,SUCTION,
희망,HOPE,HOPE,
